,director_name,id
0,James Cameron,2710.0
1,Gore Verbinski,1704.0
2,Sam Mendes,39.0
3,Christopher Nolan,525.0
4,Andrew Stanton,7.0
5,Sam Raimi,7623.0
6,Byron Howard,76595.0
7,Joss Whedon,12891.0
8,David Yates,11343.0
9,Zack Snyder,15217.0
10,Bryan Singer,9032.0
11,Marc Forster,12995.0
15,Andrew Adamson,5524.0
17,Rob Marshall,17633.0
18,Barry Sonnenfeld,5174.0
19,Peter Jackson,108.0
20,Marc Webb,87742.0
21,Ridley Scott,578.0
23,Chris Weitz,3288.0
26,Anthony Russo,19271.0
27,Peter Berg,36602.0
28,Colin Trevorrow,930707.0
31,Shane Black,1108.0
32,Tim Burton,510.0
33,Brett Ratner,11091.0
34,Dan Scanlon,225976.0
35,Michael Bay,865.0
39,Joseph Kosinski,86270.0
40,John Lasseter,7879.0
41,Martin Campbell,10702.0
42,Lee Unkrich,8.0
43,McG,36425.0
44,James Wan,2127.0
47,J.J. Abrams,15344.0
49,Baz Luhrmann,6201.0
50,Mike Newell,10723.0
51,Guillermo del Toro,10828.0
53,Steven Spielberg,488.0
54,Peter Sohn,21198.0
55,Brenda Chapman,59803.0
56,Justin Lin,58189.0
59,Roland Emmerich,6046.0
60,Robert Zemeckis,24.0
61,Lilly Wachowski,9339.0
66,Pete Docter,12890.0
67,Conrad Vernon,12080.0
68,Jon Favreau,15277.0
69,Martin Scorsese,1032.0
71,Rob Cohen,18878.0
72,David Ayer,19769.0
73,Tom Shadyac,4499.0
74,Doug Liman,11694.0
75,Kevin Reynolds,8300.0
76,Stephen Sommers,7775.0
80,Rupert Sanders,228134.0
81,Robert Stromberg,1032536.0
82,Matt Reeves,32278.0
83,Roland Joffé,8965.0
84,Carl Rinsch,239571.0
86,Mike Mitchell,64151.0
87,Brad Bird,7087.0
88,Chris Williams,70238.0
89,Rich Moore,165787.0
92,Chris Sanders,66193.0
93,Jonathan Mostow,7213.0
94,James Gunn,15218.0
97,Hideaki Anno,77921.0
100,David Fincher,7467.0
101,Matthew Vaughn,957.0
102,Francis Lawrence,10943.0
103,Jon Turteltaub,12962.0
104,Wolfgang Petersen,5231.0
105,James Bobin,26205.0
106,Chris Miller,12098.0
107,Duncan Jones,81850.0
108,Alan Taylor,47005.0
109,Michael Apted,10781.0
112,Oliver Stone,1152.0
118,Jan Pinkava,7930.0
120,Eric Darnell,18863.0
121,Shawn Levy,17825.0
122,Gavin Hood,13079.0
124,Chris Buck,15774.0
127,George Miller,20629.0
128,Ron Howard,6159.0
129,Kenneth Branagh,11181.0
131,Hoyt Yeatman,84851.0
132,Jonathan Liebesman,66739.0
134,Christopher McQuarrie,9033.0
135,Joe Johnston,4945.0
136,Steve Hickner,44113.0
137,Jennifer Yuh Nelson,142312.0
138,M. Night Shyamalan,11614.0
141,Simon Wells,21879.0
142,David Bowers,33183.0
143,Joe Wright,36588.0
144,Rob Minkoff,18898.0
147,Lee Tamahori,7256.0
148,Paul Feig,116805.0
154,Peter Ramsey,151007.0
155,Dean Parisot,15002.0
156,Edward Zwick,9181.0
160,Dean DeBlois,69797.0
161,Alex Proyas,21085.0
164,Richard Donner,7187.0
165,Ang Lee,1614.0
166,Jon M. Chu,54507.0
167,Breck Eisner,52609.0
168,Hironobu Sakaguchi,21692.0
171,Peter Weir,2690.0
172,Bill Condon,15557.0
174,Louis Leterrier,18865.0
176,Alejandro González Iñárritu,223.0
177,David Soren,94075.0
180,Paul Greengrass,25598.0
181,Mark Osborne,57741.0
182,Peyton Reed,59026.0
184,Tim Johnson,52870.0
188,Phillip Noyce,13015.0
189,Darren Aronofsky,6431.0
191,Alfonso Cuarón,11218.0
194,Ralph Zondag,65855.0
196,Tom McGrath,18864.0
197,Chris Columbus,10965.0
198,Robert Schwentke,57270.0
202,Carlos Saldanha,5714.0
205,Guy Ritchie,956.0
207,Paul Verhoeven,10491.0
208,John McTiernan,1090.0
209,Tony Gilroy,19242.0
210,Joel Schumacher,5572.0
213,John Woo,11401.0
215,Tim Story,20400.0
217,Mark Steven Johnson,16837.0
222,Neill Blomkamp,82194.0
223,David Twohy,28239.0
224,José Padilha,52576.0
226,James L. Brooks,3388.0
227,James Mangold,366.0
229,George Lucas,1.0
235,Thomas Langmann,20674.0
237,Cedric Nicolas-Troyan,1454884.0
240,Roger Donaldson,21370.0
241,Dave Green,1101410.0
242,Josh Trank,934803.0
244,Brad Peyton,132876.0
245,Roger Spottiswoode,1724.0
247,Steven Soderbergh,1884.0
251,Rob Letterman,65630.0
252,Michel Gondry,201.0
253,Noam Murro,78914.0
254,Raja Gosnell,1215.0
255,Will Finn,70287.0
259,Jan de Bont,2209.0
261,Len Wiseman,3950.0
263,Frank Coraci,57370.0
264,Michael Mann,638.0
265,Bo Welch,5133.0
269,Ron Clements,15810.0
272,Peter Chelsom,36804.0
273,Dominic Sena,58498.0
283,Tony Scott,893.0
284,Paul Weitz,3289.0
285,Adam McKay,55710.0
286,Chuck Russell,26713.0
287,Quentin Tarantino,138.0
288,Gary Trousdale,62047.0
289,Mark Dindal,61411.0
290,Simon West,12786.0
292,Stefen Fangmeier,25453.0
293,Spike Jonze,5953.0
294,Chris Wedge,5713.0
295,Florian Henckel von Donnersmarck,8193.0
296,Peter Hyams,37710.0
301,Tom Tykwer,1071.0
303,Pitof,4586.0
306,Brad Silberling,11887.0
307,Patrick Hughes,143059.0
308,Ericson Core,21673.0
309,Lawrence Guterman,64191.0
311,Ron Underwood,33485.0
313,Steve Martino,71729.0
314,David Mamet,1255.0
317,Zhang Yimou,607.0
